# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	7.426404e+01	9.148245e+01	8.887183e+01
50           	walls	1.161698e+01	1.002623e+02	7.266173e+01
100          	walls	2.474382e+01	1.400482e+02	7.168960e+01
150          	walls	1.308337e+01	1.538674e+02	6.870747e+01
200          	walls	1.357738e+01	1.521100e+02	6.699410e+01
